,Anomaly:Inflight Event / Encounter Weather / Turbulence,Human Factors:Troubleshooting,Human Factors:Time Pressure,Human Factors:Workload,Human Factors:Situational Awareness,Human Factors:Distraction,Human Factors:Confusion,Human Factors:Training / Qualification,Anomaly:Ground Event / Encounter Weather / Turbulence,Anomaly:Inflight Event / Encounter Bird / Animal,Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter FOD,Human Factors:Human-Machine Interface,Human Factors:Communication Breakdown,Anomaly:Ground Event / Encounter Person / Animal / Bird,Human Factors:Other / Unknown,Anomaly:Inflight Event / Encounter Fly Away (UAS),Human Factors:Fatigue,Anomaly:Inflight Event / Encounter Wake Vortex Encounter,Anomaly:Inflight Event / Encounter Object,Anomaly:Ground Event / Encounter Loss Of VLOS (UAS),Human Factors:Physiological - Other
Anomaly:ATC Issue All Types,0.001817967052430914,0.000958798864773,0.0007244336614151345,0.0007023006981955113,0.0006632333999589584,0.0005921172882316222,0.0005921172882316222,0.0005811427993588358,0.0005045426945543552,0.0002770342439670642,0.00021390122709061613,0.00016988355401903465,0.00016255751399221318,0.0001624527968684692,0.00014854386367814734,0.00013788525562899445,0.00013788525562899445,8.470416702030872e-05,7.40902665426861e-05,5.7666343841400285e-05,3.1708709444543126e-05,1.0562213370199532e-05
Anomaly:Aircraft Equipment Problem Critical,0.0058366681193825765,0.008053859728360535,0.005747508491967333,0.001824826031735824,0.0001562960665200397,0.00042471958909370833,0.0016908761630056168,0.000605942398488761,0.003352942008109528,0.0011567639191722504,0.025910430309610412,0.0018781095289892129,0.00525364097277925,6.671083092463226e-07,0.00019805108170658364,0.000166965758092592,0.005548738016215141,0.00011269102187067351,0.002477801619605681,0.0006323684072862198,0.00029942380624766417,0.0006322417243926539
Anomaly:Aircraft Equipment Problem Less Severe,0.00040080413063693643,0.0005341221300469989,0.00045715243061747457,0.0008634301986219228,1.5675575611037718e-05,0.00018110878174703443,0.00036065245183919403,1.8442035513703547e-05,0.0010083864581223664,6.183848852428162e-05,0.0007712670314993925,0.00041536734840392706,9.434450052190138e-05,5.434696632895808e-05,0.0006752631703820927,5.752739203667909e-05,0.0005113917719539139,0.00046872847438862546,0.0010650577113114103,0.0012443086949991428,0.0004557469073035083,0.00015179826826784877
Anomaly:Airspace Violation All Types,0.0002936075185408227,0.00017320456880695959,0.0001308736512018703,0.0001268757845661675,0.00039518043061142344,0.00010697284029009477,0.00010697284029009477,0.00010499041550235746,9.115316153305089e-05,5.0052754430211094e-05,0.00010195489865438834,3.0694145576225934e-05,5.978320627003306e-05,0.00026616037350983904,2.6838661297330646e-05,2.4912936565814683e-05,2.4912936565814683e-05,1.530441213094813e-05,1.3386714050212835e-05,0.0009440018483134619,5.729216019247085e-06,1.90841781506218e-06
Anomaly:Conflict Airborne Conflict,0.00036714340090463274,0.00021658303014659291,0.0001636500355135101,0.00015865089027708792,0.0004941593234122528,0.00013376322837563986,0.00013376322837563986,0.00013128430633237848,0.00011398153713162648,6.258778990001976e-05,0.000546863358528802,3.83810321769925e-05,7.475514806339414e-05,0.0001881245627117726,3.355999173805177e-05,3.115199504151976e-05,3.115199504151976e-05,1.9137153131157728e-05,1.673919674772227e-05,0.0007899889735789182,7.16400063600995e-06,2.3863479952394503e-06
"Anomaly:Conflict Ground Conflict, Critical",0.007452067759900954,0.0002810525835598675,0.0006781955166877251,0.0006213741918597287,0.004526230724418545,5.700278095383503e-05,0.001473762999491316,0.001011144865208374,7.560090539675962e-05,0.001268376234305424,0.001999346893853171,0.0007777189955324934,0.00026469190601133286,0.006662799718359383,0.0021747230811939196,0.00040262190024173417,0.0006312135554766285,0.00038774115516689717,0.0003391517196556851,0.0006251143268546705,0.00014514245119542392,4.834620218351765e-05
"Anomaly:Conflict Ground Conflict, Less Severe",0.000278526798330978,0.0009148870253538402,3.1472263297121356e-07,1.2833300616372362e-06,0.00010031484862054948,0.0005650015050595661,1.7454982644985427e-05,0.0005545296608958222,4.7460187977091395e-05,0.00026434854921976447,0.002447314572182762,0.00016210460694907405,0.00031574229645054547,0.00020503561502215138,0.0001417420936278141,0.00013157155572307566,0.00013157155572307566,8.082565366720335e-05,7.069776106519848e-05,0.00043983602467574656,3.025682008699071e-05,1.0078589556340549e-05
Anomaly:Conflict NMAC,0.00015097968128211306,0.00021658303014659291,0.0001636500355135101,0.00015865089027708792,5.937046024359974e-05,0.00013376322837563986,0.00013376322837563986,0.00013128430633237848,0.00011398153713162648,6.258778990001976e-05,0.000546863358528802,3.83810321769925e-05,7.475514806339414e-05,0.0001881245627117726,3.355999173805177e-05,3.115199504151976e-05,3.115199504151976e-05,1.9137153131157728e-05,1.673919674772227e-05,0.0026238717657348105,7.16400063600995e-06,2.3863479952394503e-06
Anomaly:Deviation - Altitude Excursion From Assigned Altitude,0.004703114425320277,0.00047750669413280933,0.0003607978424919056,0.0003497757240913321,0.0010895849456659529,0.0002949039104412979,0.0002949039104412979,0.00028943848036252356,0.0002512902502230657,0.00013798245951854998,0.0012058147338729688,8.461506782805189e-05,0.00016480750723799065,0.0002978734870083821,7.39864628210643e-05,6.867773546645473e-05,6.867773546645473e-05,4.2189642818803164e-05,3.690309699485271e-05,0.00022957702408432645,1.5793651716760476e-05,5.2609005134502534e-06
Anomaly:Deviation - Altitude Overshoot,0.0007021171554803373,8.654051737072219e-05,6.539051406000834e-05,0.0012219155556489926,0.0005342984432831661,5.344873094175785e-05,5.344873094175785e-05,5.2458230369825665e-05,4.554455766980943e-05,2.5008924107405156e-05,0.00021849960598309924,1.533640746931471e-05,2.9870720180633428e-05,0.00013298363730258889,1.3410011519814774e-05,1.2447820839967677e-05,1.2447820839967677e-05,7.646903051317794e-06,6.688720111538461e-06,4.160938042429077e-05,2.86262626518095e-06,9.535492390268067e-07
