,state0,state1
Anomaly:ATC Issue All Types,0.9661392807490566,0.033860719250943395
Anomaly:Aircraft Equipment Problem Critical,0.6786136389723572,0.3213863610276429
Anomaly:Aircraft Equipment Problem Less Severe,0.7814533967803089,0.2185466032196911
Anomaly:Airspace Violation All Types,1.0,0.0
Anomaly:Conflict Airborne Conflict,0.9887130935830188,0.011286906416981131
"Anomaly:Conflict Ground Conflict, Critical",0.8206682087056859,0.17933179129431417
"Anomaly:Conflict Ground Conflict, Less Severe",0.9988934405473548,0.001106559452645209
Anomaly:Conflict NMAC,0.9887130935830188,0.011286906416981131
Anomaly:Deviation - Altitude Excursion From Assigned Altitude,0.9774261871660377,0.022573812833962262
Anomaly:Deviation - Altitude Overshoot,1.0,0.0
Anomaly:Deviation - Altitude Undershoot,1.0,0.0
Anomaly:Deviation - Speed All Types,0.9661392807490566,0.033860719250943395
Anomaly:Deviation - Track / Heading All Types,0.9988934405473548,0.001106559452645209
Anomaly:Deviation / Discrepancy - Procedural Clearance,0.8804224191485271,0.11957758085147288
Anomaly:Deviation / Discrepancy - Procedural FAR,0.8311794121835531,0.16882058781644704
Anomaly:Deviation / Discrepancy - Procedural Hazardous Material Violation,1.0,0.0
Anomaly:Deviation / Discrepancy - Procedural Landing Without Clearance,1.0,0.0
Anomaly:Deviation / Discrepancy - Procedural MEL / CDL,0.9752130682607473,0.024786931739252685
Anomaly:Deviation / Discrepancy - Procedural Other / Unknown,0.9887130935830188,0.011286906416981131
Anomaly:Deviation / Discrepancy - Procedural Published Material / Policy,0.20427087495830556,0.7957291250416945
Anomaly:Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),1.0,0.0
Anomaly:Deviation / Discrepancy - Procedural Weight And Balance,0.9740373488423117,0.025962651157688216
Anomaly:Flight Deck / Cabin / Aircraft Event Illness / Injury,0.9846038802928112,0.01539611970718881
Anomaly:Flight Deck / Cabin / Aircraft Event Other / Unknown,0.9853934152250833,0.014606584774916758
Anomaly:Flight Deck / Cabin / Aircraft Event Passenger Electronic Device,1.0,0.0
