L4_factor,N_cases,P_Staffing,P_MEL,P_Manuals
Chart_Or_Publication,87,0.023,0.1149,0.3678
Company_Policy,200,0.09,0.04,0.12
Logbook_Entry,29,0.069,0.2414,0.3448
Procedure,984,0.0244,0.0254,0.0589
Incorrect___Not_Installed___Unavailable_Part,32,0.0312,0.125,0.1875
Human_Factors,2488,0.0161,0.0109,0.0297
Software_and_Automation,26,0.0,0.0,0.0
Aircraft,1869,0.0091,0.0171,0.0342
Airport,307,0.0098,0.0,0.0
Airspace_Structure,6,0.0,0.0,0.0
ATC_Equipment___Nav_Facility___Buildings,11,0.0,0.0,0.0
Equipment___Tooling,117,0.0256,0.0171,0.0427
