from,to
Human Factors:Communication Breakdown,Anomaly:Deviation / Discrepancy - Procedural Published Material / Policy
Human Factors:Communication Breakdown,Anomaly:Ground Event / Encounter Vehicle
Human Factors:Communication Breakdown,Anomaly:Ground Event / Encounter Ground Equipment Issue
Human Factors:Communication Breakdown,"Anomaly:Conflict Ground Conflict, Critical"
Human Factors:Fatigue,Anomaly:Deviation / Discrepancy - Procedural MEL / CDL
Human Factors:Human-Machine Interface,Anomaly:Deviation / Discrepancy - Procedural FAR
Human Factors:Situational Awareness,Anomaly:Ground Excursion Runway
Human Factors:Situational Awareness,Anomaly:Ground Event / Encounter Aircraft
Human Factors:Situational Awareness,Anomaly:Ground Event / Encounter Loss Of Aircraft Control
Human Factors:Troubleshooting,Anomaly:Aircraft Equipment Problem Critical
Human Factors:Troubleshooting,Anomaly:Deviation / Discrepancy - Procedural Clearance
Anomaly:Ground Event / Encounter Weather / Turbulence,Anomaly:Ground Event / Encounter Loss Of Aircraft Control
Anomaly:Ground Event / Encounter Weather / Turbulence,Anomaly:Inflight Event / Encounter Weather / Turbulence
Anomaly:Ground Event / Encounter Weather / Turbulence,Anomaly:Ground Excursion Taxiway
Anomaly:Inflight Event / Encounter Weather / Turbulence,Anomaly:Ground Event / Encounter Ground Strike - Aircraft
Anomaly:Inflight Event / Encounter Weather / Turbulence,Anomaly:Inflight Event / Encounter Loss Of Aircraft Control
Anomaly:Inflight Event / Encounter Weather / Turbulence,"Anomaly:Conflict Ground Conflict, Critical"
Anomaly:Inflight Event / Encounter Weather / Turbulence,Anomaly:Deviation - Altitude Excursion From Assigned Altitude
Anomaly:Inflight Event / Encounter Weather / Turbulence,Anomaly:Inflight Event / Encounter Unstabilized Approach
Anomaly:Inflight Event / Encounter Bird / Animal,Anomaly:Deviation / Discrepancy - Procedural Published Material / Policy
Anomaly:Ground Event / Encounter Object,Anomaly:Aircraft Equipment Problem Critical
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Excursion Runway
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Loss Of Aircraft Control
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Gear Up Landing
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Aircraft
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Ground Strike - Aircraft
Anomaly:Ground Event / Encounter Object,Anomaly:Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Vehicle
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Event / Encounter Other / Unknown
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Excursion Taxiway
Anomaly:Ground Event / Encounter Object,Anomaly:Ground Incursion Ramp
Anomaly:Inflight Event / Encounter Object,Anomaly:Inflight Event / Encounter CFTT / CFIT
Anomaly:Inflight Event / Encounter Object,Anomaly:Conflict NMAC
Anomaly:Inflight Event / Encounter Fly Away (UAS),Anomaly:Inflight Event / Encounter Loss Of Aircraft Control
